codigo,nombre,periodo_lectivo,carga_horaria
9322,Química Legal,Cuatrimestral,
9423,Accidentología Vial II,Anual,
9424,Metodología de la Investigación Científica,Anual,
9425,Práctica Pericial III,Anual,
9426,Técnicas de Filmación,Cuatrimestral,
9427,Estadística y Probabilidad Accidentológica,Cuatrimestral,
9428,Prevención y Educación Vial,Cuatrimestral,
9429,Informática III,Cuatrimestral,
9430,Coordinación Operativa,Cuatrimestral,
9431,Portugués I,Anual,
9432,Portugués II,Anual,
9433,Inglés Técnico I,Anual,
9434,Inglés Técnico II,Anual,
9435,Tesis,Anual,
3435,Tesis,,
24101,Metodología de Estudio,Cuatrimestral,2
24102,Derecho Constitucional,Cuatrimestral,3
24103,Introducción a la Química,Cuatrimestral,3
24104,Derecho Civil y Penal en el Peritaje,Cuatrimestral,4
24105,Fotografía Pericial,Cuatrimestral,3
24106,Matemática I,Anual,3
24107,Fisíca I,Anual,3
24108,Inglés Técnico I,Anual,3
24109,Derechos Humanos,Cuatrimestral,2
24111,Introducción a la Criminalistica,Cuatrimestral,3
24113,Química Orgánica,Cuatrimestral,3
24213,Derecho Procesal Civil y Penal,Cuatrimestral,4
24214,Video Filmación,Anual,3
24216,Inglés Técnico II,Anual,3
24222,Química Documentológica,Cuatrimestral,3
24322,Artes Gráficas,Cuatrimestral,3
24323,Deontología Profesional,Cuatrimestral,2
24327,Documentología I,Anual,4
24329,Informática II,Anual,4
24330,Portugués,Anual,3
24432,Psicología General,Cuatrimestral,2
24439,Documentología II,Anual,4
24443,Práctica Pericial Documentológica,Anual,4
24215,Informática I,Anual,2
29101,Metodología de Estudio,Cuatrimestral,2
29102,Introducción a la Accidentología Vial,Anual,4
29103,Planimetría,Anual,5
29104,Matemática I,Anual,4
29105,Derecho Constitucional,Cuatrimestral,3
29106,Mecánica,Anual,5
29107,Física I,Anual,3
29108,Portugués I,Anual,3
29109,Introducción a la Química,Cuatrimestral,3
29210,Derecho Civil y Penal,Anual,4
29211,Matemática II,Anual,4
29212,Práctica Pericial I,Anual,5
29213,Fotografía,Cuatrimestral,3
29214,Física II,Anual,4
29215,Portugués II,Anual,3
29216,Informática I,Anual,4
29217,Química Legal,Cuatrimestral,3
29318,Derecho Procesal Civil y Penal,Anual,3
29319,Derechos Humanos,Cuatrimestral,2
29320,Video Filmación,Cuatrimestral,3
29321,Accidentología Vial,Anual,5
29322,Práctica Pericial II,Anual,5
